32 200 0.005 1.0 1e-6
0 5.000000 20.000000 0.000000 0.000000 0.223607
1 6.000000 21.086884 4.194442 -0.042074 0.211522
2 7.000000 21.249229 8.801719 -0.079795 0.192642
3 8.000000 20.371006 13.611471 -0.112242 0.167982
4 9.000000 18.384776 18.384776 -0.138675 0.138675
5 10.000000 15.278181 22.865414 -0.158555 0.105943
6 11.000000 11.097820 26.792506 -0.171560 0.071063
7 12.000000 3.901806 19.615706 -0.219310 0.043624
8 13.000000 0.000000 21.500000 -0.215666 0.000000
9 14.000000 -4.487077 22.558061 -0.204508 -0.040679
10 15.000000 -9.375744 22.635049 -0.186652 -0.077314
11 5.000000 -14.444826 21.618210 -0.163065 -0.108956
12 6.000000 -19.445436 19.445436 -0.134840 -0.134840
13 7.000000 -24.112619 16.111537 -0.103167 -0.154400
14 8.000000 -18.477591 7.653669 -0.085571 -0.206586
15 9.000000 -21.086884 4.194442 -0.042074 -0.211522
16 10.000000 -23.000000 0.000000 0.000000 -0.208514
17 11.000000 -24.029239 -4.779713 0.039414 -0.198149
18 12.000000 -24.020868 -9.949769 0.075050 -0.181188
19 13.000000 -22.865414 -15.278181 0.105943 -0.158555
20 14.000000 -20.506097 -20.506097 0.131306 -0.131306
21 15.000000 -11.111405 -16.629392 0.185922 -0.124229
22 5.000000 -8.227694 -19.863410 0.199249 -0.082532
23 6.000000 -4.487077 -22.558061 0.204508 -0.040679
24 7.000000 0.000000 -24.500000 0.202031 0.000000
25 8.000000 5.072348 -25.500417 0.192348 0.038260
26 9.000000 10.523794 -25.406687 0.176177 0.072975
27 10.000000 16.111537 -24.112619 0.154400 0.103167
28 11.000000 14.142136 -14.142136 0.158114 0.158114
29 12.000000 17.876597 -11.944760 0.119817 0.179319
30 13.000000 21.249229 -8.801719 0.079795 0.192642
31 14.000000 24.029239 -4.779713 0.039414 0.198149
